행정구역,총인구수,연령구간인구수,2020년12월_계_0~9세,2020년12월_계_10~19세,2020년12월_계_20~29세,2020년12월_계_30~39세,2020년12월_계_40~49세,2020년12월_계_50~59세,2020년12월_계_60~69세,2020년12월_계_70~79세,2020년12월_계_80~89세,2020년12월_계_90~99세,2020년12월_계_100세 이상
서울특별시 성북구 장위제3동(1129078000),17200.0,17200.0,1777.0,1413.0,2225.0,2769.0,2746.0,2709.0,2057.0,1067.0,373.0,50.0,14.0
서울특별시 성북구 석관동(1129081000),35605.0,35605.0,2030.0,2245.0,5206.0,5027.0,5180.0,6015.0,5288.0,3261.0,1205.0,131.0,17.0
서울특별시 강북구 (1130500000),308055.0,308055.0,15714.0,22027.0,42944.0,38757.0,46718.0,52642.0,45892.0,30087.0,11516.0,1509.0,249.0
서울특별시 강북구 삼양동(1130553400),24555.0,24555.0,1307.0,1981.0,3153.0,3029.0,3673.0,4368.0,3797.0,2246.0,842.0,129.0,30.0
서울특별시 강북구 미아동(1130553500),22213.0,22213.0,797.0,1333.0,3865.0,2899.0,3091.0,3847.0,3329.0,2116.0,827.0,99.0,10.0
서울특별시 강북구 송중동(1130554500),30353.0,30353.0,1559.0,2061.0,4269.0,4122.0,4602.0,5200.0,4569.0,2829.0,990.0,122.0,30.0
서울특별시 강북구 송천동(1130555500),27439.0,27439.0,1079.0,1640.0,3695.0,3287.0,3926.0,5053.0,4584.0,2899.0,1106.0,143.0,27.0
서울특별시 강북구 삼각산동(1130557500),31993.0,31993.0,3004.0,4013.0,3380.0,3851.0,6492.0,4973.0,3346.0,2014.0,798.0,97.0,25.0
서울특별시 강북구 번1동(1130559500),19059.0,19059.0,693.0,1097.0,3290.0,2811.0,2944.0,3133.0,2620.0,1767.0,618.0,78.0,8.0
서울특별시 강북구 번2동(1130560300),16435.0,16435.0,689.0,1091.0,2210.0,1809.0,2430.0,2773.0,2660.0,2012.0,677.0,80.0,4.0
서울특별시 강북구 번3동(1130560800),17540.0,17540.0,962.0,1359.0,1940.0,1748.0,2670.0,2831.0,2664.0,2515.0,753.0,88.0,10.0
서울특별시 강북구 수유1동(1130561500),21219.0,21219.0,1057.0,1357.0,3067.0,2783.0,3018.0,3625.0,3332.0,1996.0,832.0,114.0,38.0
서울특별시 강북구 수유2동(1130562500),21460.0,21460.0,1064.0,1434.0,2988.0,2587.0,3056.0,3778.0,3320.0,2141.0,961.0,127.0,4.0
서울특별시 강북구 수유3동(1130563500),23531.0,23531.0,848.0,1115.0,4308.0,3390.0,3312.0,4046.0,3401.0,2162.0,837.0,98.0,14.0
서울특별시 강북구 우이동(1130564500),20939.0,20939.0,1090.0,1403.0,2675.0,2594.0,2997.0,3588.0,3303.0,2175.0,940.0,144.0,30.0
서울특별시 강북구 인수동(1130566000),31319.0,31319.0,1565.0,2143.0,4104.0,3847.0,4507.0,5427.0,4967.0,3215.0,1335.0,190.0,19.0
서울특별시 도봉구 (1132000000),325257.0,325257.0,18775.0,25627.0,43412.0,40993.0,48535.0,57020.0,49740.0,27706.0,11603.0,1671.0,175.0
서울특별시 도봉구 창제1동(1132051100),25241.0,25241.0,1574.0,2176.0,3307.0,3407.0,4116.0,4183.0,3479.0,1985.0,892.0,115.0,7.0
서울특별시 도봉구 창제2동(1132051200),29643.0,29643.0,1818.0,2284.0,4139.0,4144.0,4588.0,5180.0,4147.0,2307.0,924.0,109.0,3.0
서울특별시 도봉구 창제3동(1132051300),14310.0,14310.0,774.0,1090.0,1826.0,1715.0,2165.0,2621.0,2158.0,1379.0,516.0,56.0,10.0
서울특별시 도봉구 창제4동(1132051400),27195.0,27195.0,1799.0,2618.0,3738.0,3416.0,4433.0,4921.0,3492.0,1741.0,889.0,139.0,9.0
서울특별시 도봉구 창제5동(1132051500),25198.0,25198.0,1577.0,1954.0,3724.0,3558.0,3571.0,4454.0,3614.0,1794.0,805.0,135.0,12.0
서울특별시 도봉구 도봉제1동(1132052100),21660.0,21660.0,878.0,1203.0,2633.0,2410.0,2927.0,3811.0,3947.0,2708.0,1002.0,124.0,17.0
서울특별시 도봉구 도봉제2동(1132052200),27785.0,27785.0,1644.0,1742.0,3339.0,3646.0,3809.0,4508.0,4945.0,2800.0,1150.0,174.0,28.0
서울특별시 도봉구 쌍문제1동(1132066000),21790.0,21790.0,1191.0,1618.0,3093.0,2598.0,3245.0,3692.0,3333.0,2061.0,835.0,108.0,16.0
서울특별시 도봉구 쌍문제2동(1132067000),19246.0,19246.0,1018.0,1401.0,2545.0,2622.0,2795.0,3330.0,3023.0,1648.0,737.0,109.0,18.0
서울특별시 도봉구 쌍문제3동(1132068000),16769.0,16769.0,804.0,1016.0,2506.0,2378.0,2433.0,2848.0,2456.0,1639.0,600.0,81.0,8.0
